lat,lon,type,title,link
,,spa,Salon Corps de Rêves,https://www.google.com/maps/place/Salon+Corps+de+R%C3%AAves/data=!4m7!3m6!1s0xd0c7f589eac09c3:0xaff129a03b0b28e5!8m2!3d35.7766836!4d-5.7998303!16s%2Fg%2F11cs5kyxqg!19sChIJwwmsnlh_DA0R5SgLO6Ap8a8?authuser=0&hl=fr&rclk=1
,,spa,Zin Spa-Massage Tanger,https://www.google.com/maps/place/Zin+Spa-Massage+Tanger/data=!4m7!3m6!1s0xd0b874b07369d85:0xb252001c33bde7a7!8m2!3d35.7747731!4d-5.7990074!16s%2Fg%2F11t9d_v64_!19sChIJhZ02B0uHCw0Rp-e9MxwAUrI?authuser=0&hl=fr&rclk=1
,,spa,Basalte Spa,https://www.google.com/maps/place/Basalte+Spa/data=!4m7!3m6!1s0xd0b87f4a8bb485f:0x4c5025c8e37a59a4!8m2!3d35.748387!4d-5.8460452!16s%2Fg%2F11tcz_n8vz!19sChIJX0i7qPSHCw0RpFl648glUEw?authuser=0&hl=fr&rclk=1
,,spa,Edenz Spa Massage Thaï Hammam Tanger,https://www.google.com/maps/place/Edenz+Spa+Massage+Tha%C3%AF+Hammam+Tanger/data=!4m7!3m6!1s0xd0b81d44a1bd323:0x77c12339c0ce1703!8m2!3d35.7724206!4d-5.7959201!16s%2Fg%2F11txsh929p!19sChIJI9MbStSBCw0RAxfOwDkjwXc?authuser=0&hl=fr&rclk=1
,,spa,Louail Shiatsu,https://www.google.com/maps/place/Louail+Shiatsu/data=!4m7!3m6!1s0xd0c7f3d42efe119:0x4292b537a278c1aa!8m2!3d35.7766526!4d-5.8111799!16s%2Fg%2F11tdbhfv2w!19sChIJGeHvQj1_DA0RqsF4oje1kkI?authuser=0&hl=fr&rclk=1
,,spa,ALL LADIES,https://www.google.com/maps/place/ALL+LADIES/data=!4m7!3m6!1s0xd0c791173f58899:0xa222faa3dafe15d0!8m2!3d35.7788382!4d-5.8474957!16s%2Fg%2F11fltvcjyb!19sChIJmYj1cxF5DA0R0BX-2qP6IqI?authuser=0&hl=fr&rclk=1
,,spa,Diamonds Beauty Spa - Hammam Massage Coiffure 100% femme - Tanger,https://www.google.com/maps/place/Diamonds+Beauty+Spa+-+Hammam+Massage+Coiffure+100%25+femme+-+Tanger/data=!4m7!3m6!1s0xd0b8190648b944b:0xf7be912addf4b79!8m2!3d35.7658057!4d-5.807121!16s%2Fg%2F11lgw2r9xq!19sChIJS5SLZJCBCw0ReUvfrRLpew8?authuser=0&hl=fr&rclk=1
,,spa,"LuxEspace - SPA, Massage & Hammam","https://www.google.com/maps/place/LuxEspace+-+SPA,+Massage+%26+Hammam/data=!4m7!3m6!1s0xd0b87ee248abc49:0xf8474bc3ad9e1696!8m2!3d35.772714!4d-5.8045574!16s%2Fg%2F11jzq_0kfc!19sChIJSbyKJO6HCw0RlhaercNLR_g?authuser=0&hl=fr&rclk=1"
,,spa,Centre de Beauté la Parisienne SPA,https://www.google.com/maps/place/Centre+de+Beaut%C3%A9+la+Parisienne+SPA/data=!4m7!3m6!1s0xd0b875ed97097c7:0x162d42eef0995ddf!8m2!3d35.7711082!4d-5.8309594!16s%2Fg%2F11c5h48djq!19sChIJx5dw2V6HCw0R312Z8O5CLRY?authuser=0&hl=fr&rclk=1
,,spa,Lahlou hammam,https://www.google.com/maps/place/Lahlou+hammam/data=!4m7!3m6!1s0xd0b87c9f4a482f9:0xdd5c02898a4ac3a0!8m2!3d35.7602221!4d-5.8489014!16s%2Fg%2F11ptxzqk79!19sChIJ-YKk9MmHCw0RoMNKiokCXN0?authuser=0&hl=fr&rclk=1
